# id	rel_path	reason	detail
naga	tests/out/wgsl/dualsource.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/expressions.frag.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/extra.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/images.frag.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/math-functions.frag.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/multiview.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/pointers.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/samplers.frag.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
naga	tests/out/wgsl/vector-functions.frag.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
webgpu-samples	sample/cornell/radiosity.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
webgpu-samples	sample/cornell/rasterizer.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
webgpu-samples	sample/cornell/raytracer.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
webgpu-samples	sample/cornell/tonemapper.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
webgpu-samples	sample/primitivePicking/fragmentForwardRendering.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
webgpu-samples	sample/skinnedMesh/gltf.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	examples/bug-repro/01_texture_atomic_bug/src/shader.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	examples/features/src/big_compute_buffers/shader.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	examples/features/src/cooperative_matrix/shader.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	examples/features/src/cooperative_matrix/shader_f16_16x16.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	examples/features/src/mesh_shader/shader.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	examples/features/src/multiview/shader.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	examples/features/src/ray_cube_normals/shader.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	examples/features/src/texture_arrays/indexing.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	examples/features/src/texture_arrays/non_uniform_indexing.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/src/copy_texture_to_buffer.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/image_atomics/image_32_atomics.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/image_atomics/image_64_atomics.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/mesh_shader/shader.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/multiview/shader.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/per_vertex/per_vertex.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/regression/issue_4485.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/shader/compilation_messages/error_shader.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/shader/shader_test.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/shader_barycentric/barycentric.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/shader_primitive_index/primitive_index.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/timestamp_normalization/shift_right_u96.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
wgpu	tests/tests/wgpu-gpu/timestamp_normalization/u64_mul_u32.wgsl	raw_invalid_no_preprocessor	External source is not standalone Naga-valid WGSL under the current validator context.
